date,total_orders,attendance,orders_per_rider,month,weekday
2024-11-03,1753,41,42.75609756097561,11,7
2024-11-04,1442,37,38.97297297297298,11,1
2024-11-05,1494,38,39.31578947368421,11,2
2024-11-06,1575,40,39.375,11,3
2024-11-07,1614,41,39.36585365853659,11,4
2024-11-08,1697,41,41.39024390243902,11,5
2024-11-09,1801,41,43.92682926829269,11,6
2024-11-10,1749,41,42.65853658536585,11,7
2024-11-11,1453,38,38.23684210526316,11,1
2024-11-12,1372,36,38.11111111111111,11,2
2024-11-13,1384,38,36.42105263157895,11,3
2024-11-14,1467,39,37.61538461538461,11,4
2024-11-15,1433,39,36.74358974358974,11,5
2024-11-16,1792,41,43.70731707317074,11,6
2024-11-17,1756,41,42.82926829268293,11,7
2024-11-18,1563,36,43.41666666666666,11,1
2024-11-19,1326,35,37.88571428571429,11,2
2024-11-20,1392,37,37.62162162162162,11,3
2024-11-21,1409,37,38.08108108108108,11,4
2024-11-22,1662,40,41.55,11,5
2024-11-23,1791,41,43.68292682926829,11,6
2024-11-24,1792,43,41.67441860465117,11,7
2024-11-25,1671,44,37.97727272727273,11,1
2024-11-26,1738,45,38.62222222222222,11,2
2024-11-27,1718,42,40.90476190476191,11,3
2024-11-28,1565,41,38.17073170731707,11,4
2024-11-29,1601,41,39.04878048780488,11,5
2024-11-30,1839,41,44.85365853658536,11,6
2024-12-01,1841,43,42.81395348837209,12,7
2024-12-02,1582,40,39.55,12,1
2024-12-03,1562,39,40.05128205128205,12,2
2024-12-04,1511,37,40.83783783783784,12,3
2024-12-05,1484,38,39.05263157894737,12,4
2024-12-06,1600,40,40.0,12,5
2024-12-07,1749,41,42.65853658536585,12,6
2024-12-08,1760,38,46.31578947368421,12,7
2024-12-09,1502,39,38.51282051282051,12,1
2024-12-10,1703,45,37.84444444444444,12,2
2024-12-11,1600,39,41.02564102564103,12,3
2024-12-12,1596,41,38.92682926829269,12,4
2024-12-13,1700,44,38.63636363636363,12,5
2024-12-14,1979,45,43.97777777777777,12,6
2024-12-15,2005,44,45.56818181818182,12,7
2024-12-16,1618,39,41.48717948717949,12,1
2024-12-17,1515,40,37.875,12,2
2024-12-18,1594,41,38.8780487804878,12,3
2024-12-19,1652,40,41.3,12,4
2024-12-20,1846,44,41.95454545454545,12,5
2024-12-21,1923,45,42.73333333333333,12,6
2024-12-22,1855,40,46.375,12,7
2024-12-23,1642,35,46.91428571428571,12,1
2024-12-24,1631,38,42.92105263157895,12,2
2024-12-25,1619,41,39.48780487804878,12,3
2024-12-26,1664,39,42.66666666666666,12,4
2024-12-27,1653,39,42.38461538461539,12,5
2024-12-28,1926,43,44.7906976744186,12,6
2024-12-29,1940,43,45.11627906976744,12,7
2024-12-30,1683,44,38.25,12,1
2024-12-31,1669,43,38.81395348837209,12,2
2025-01-01,1722,44,39.13636363636363,1,3
2025-01-02,1334,38,35.10526315789474,1,4
2025-01-03,1313,35,37.51428571428571,1,5
2025-01-04,1461,38,38.44736842105263,1,6
2025-01-05,1619,41,39.48780487804878,1,7
2025-01-06,1464,40,36.6,1,1
2025-01-07,1487,42,35.40476190476191,1,2
2025-01-08,1391,47,29.59574468085106,1,3
2025-01-09,1357,35,38.77142857142857,1,4
2025-01-10,1284,34,37.76470588235294,1,5
2025-01-11,1355,39,34.74358974358974,1,6
2025-01-12,1421,39,36.43589743589744,1,7
2025-01-13,1404,34,41.29411764705883,1,1
2025-01-14,1434,33,43.45454545454545,1,2
2025-01-15,1503,35,42.94285714285714,1,3
2025-01-16,1275,36,35.41666666666666,1,4
2025-01-17,1488,37,40.21621621621622,1,5
2025-01-18,1439,40,35.975,1,6
2025-01-19,1534,39,39.33333333333334,1,7
2025-01-20,1333,40,33.325,1,1
2025-01-21,1328,43,30.88372093023256,1,2
2025-01-22,1270,43,29.53488372093023,1,3
2025-01-23,1091,37,29.48648648648649,1,4
2025-01-24,1196,37,32.32432432432432,1,5
2025-01-25,1128,37,30.48648648648649,1,6
2025-01-26,1097,36,30.47222222222222,1,7
2025-02-03,1142,35,32.62857142857143,2,1
2025-02-04,1118,35,31.94285714285714,2,2
2025-02-05,1220,38,32.10526315789474,2,3
2025-02-06,1246,37,33.67567567567568,2,4
2025-02-07,1353,37,36.56756756756756,2,5
2025-02-08,1296,41,31.60975609756098,2,6
2025-02-09,1328,41,32.39024390243902,2,7
2025-02-10,1445,39,37.05128205128205,2,1
2025-02-11,1457,39,37.35897435897436,2,2
2025-02-12,1396,39,35.7948717948718,2,3
2025-02-13,1553,39,39.82051282051282,2,4
2025-02-14,1548,43,36.0,2,5
2025-02-15,1470,43,34.18604651162791,2,6
2025-02-16,1336,43,31.06976744186046,2,7
2025-02-17,1525,32,47.65625,2,1
2025-02-18,1373,35,39.22857142857143,2,2
2025-02-19,1352,32,42.25,2,3
2025-02-20,1432,34,42.11764705882353,2,4
2025-02-21,1494,35,42.68571428571428,2,5
2025-02-22,1531,39,39.25641025641026,2,6
2025-02-23,1504,39,38.56410256410256,2,7
2025-02-24,1478,38,38.89473684210526,2,1
2025-02-25,1430,35,40.85714285714285,2,2
2025-03-01,1693,41,41.29268292682926,3,6
2025-03-02,1632,41,39.80487804878049,3,7
2025-03-03,1277,37,34.51351351351352,3,1
2025-03-04,1254,37,33.89189189189189,3,2
2025-03-05,1321,38,34.76315789473684,3,3
2025-03-06,1311,40,32.775,3,4
2025-03-07,1405,41,34.26829268292683,3,5
2025-03-08,1968,44,44.72727272727273,3,6
2025-03-09,1759,44,39.97727272727273,3,7
2025-03-10,1564,39,40.1025641025641,3,1
2025-03-11,1402,42,33.38095238095238,3,2
2025-03-12,1487,41,36.26829268292683,3,3
2025-03-13,1384,40,34.6,3,4
2025-03-14,1368,38,36.0,3,5
2025-03-15,1709,44,38.84090909090909,3,6
2025-03-16,1649,45,36.64444444444445,3,7
2025-03-17,1401,42,33.35714285714285,3,1
2025-03-18,1341,41,32.70731707317074,3,2
2025-03-19,1348,43,31.34883720930232,3,3
2025-03-20,1324,46,28.78260869565218,3,4
2025-03-21,1627,51,31.90196078431373,3,5
2025-03-22,1736,53,32.75471698113208,3,6
2025-03-23,1706,51,33.45098039215686,3,7
2025-03-24,1537,52,29.55769230769231,3,1
2025-03-25,1535,52,29.51923076923077,3,2
2025-03-26,1788,48,37.25,3,3
2025-03-27,2012,50,40.24,3,4
2025-03-28,1618,47,34.42553191489362,3,5
2025-03-29,2044,50,40.88,3,6
2025-03-30,1957,50,39.14,3,7
2025-03-31,1444,45,32.08888888888889,3,1
2025-04-01,1730,48,36.04166666666666,4,2
2025-04-02,1494,46,32.47826086956522,4,3
2025-04-03,1657,46,36.02173913043478,4,4
2025-04-04,2041,46,44.3695652173913,4,5
2025-04-05,2489,52,47.86538461538461,4,6
2025-04-06,1978,56,35.32142857142857,4,7
2025-04-07,1514,53,28.56603773584906,4,1
2025-04-08,1478,53,27.88679245283019,4,2
2025-04-09,1441,54,26.68518518518519,4,3
2025-04-10,1394,56,24.89285714285714,4,4
2025-04-11,1833,56,32.73214285714285,4,5
2025-04-12,2152,57,37.75438596491228,4,6
2025-04-13,2111,53,39.83018867924528,4,7
2025-04-14,1494,48,31.125,4,1
2025-04-15,1550,48,32.29166666666666,4,2
2025-04-16,1549,47,32.95744680851064,4,3
2025-04-17,1501,48,31.27083333333333,4,4
2025-04-18,1816,48,37.83333333333334,4,5
2025-04-19,1792,45,39.82222222222222,4,6
2025-04-20,1831,48,38.14583333333334,4,7
2025-04-21,1904,47,40.51063829787234,4,1
2025-04-22,1584,45,35.2,4,2
2025-04-23,1425,41,34.75609756097561,4,3
2025-04-24,1691,45,37.57777777777778,4,4
2025-04-25,1827,44,41.52272727272727,4,5
2025-04-26,1799,48,37.47916666666666,4,6
2025-04-27,1513,43,35.18604651162791,4,7
2025-04-28,1533,44,34.84090909090909,4,1
2025-05-01,1709,44,38.84090909090909,5,4
2025-05-02,1725,42,41.07142857142857,5,5
2025-05-03,2247,46,48.84782608695652,5,6
2025-05-04,2417,45,53.71111111111111,5,7
2025-05-05,2217,45,49.26666666666667,5,1
2025-05-06,2248,47,47.82978723404256,5,2
2025-05-07,1806,46,39.26086956521739,5,3
2025-05-08,1815,45,40.33333333333334,5,4
2025-05-09,1792,45,39.82222222222222,5,5
2025-05-10,1980,46,43.04347826086956,5,6
2025-05-11,2049,46,44.54347826086956,5,7
2025-05-12,1564,46,34.0,5,1
2025-05-13,1776,47,37.78723404255319,5,2
2025-05-14,1848,47,39.31914893617022,5,3
2025-05-15,1885,49,38.46938775510204,5,4
2025-05-16,2078,46,45.17391304347826,5,5
2025-05-17,2080,45,46.22222222222222,5,6
2025-05-18,2074,50,41.48,5,7
2025-05-19,1927,45,42.82222222222222,5,1
2025-05-20,2049,46,44.54347826086956,5,2
2025-05-21,2058,51,40.35294117647059,5,3
2025-05-22,2069,51,40.56862745098039,5,4
2025-05-23,2207,55,40.12727272727273,5,5
2025-05-24,2307,54,42.72222222222222,5,6
2025-05-25,2173,52,41.78846153846154,5,7
2025-05-26,1844,47,39.23404255319149,5,1
2025-05-27,1758,47,37.40425531914894,5,2
2025-05-28,1741,45,38.68888888888889,5,3
2025-05-29,1774,44,40.31818181818182,5,4
2025-05-30,1755,44,39.88636363636363,5,5
2025-05-31,1737,46,37.76086956521739,5,6
2025-06-07,1893,46,41.15217391304348,6,6
2025-06-08,1833,42,43.64285714285715,6,7
2025-06-09,1859,44,42.25,6,1
2025-06-10,1548,45,34.4,6,2
2025-06-11,1925,48,40.10416666666666,6,3
2025-06-12,2071,50,41.42,6,4
2025-06-13,2016,49,41.14285714285715,6,5
2025-06-14,1934,50,38.68,6,6
2025-06-15,1858,50,37.16,6,7
2025-06-16,1817,46,39.5,6,1
2025-06-17,1885,48,39.27083333333334,6,2
2025-06-18,2096,50,41.92,6,3
2025-06-19,2045,50,40.9,6,4
2025-06-20,1972,47,41.95744680851064,6,5
2025-06-21,1925,49,39.28571428571428,6,6
2025-06-22,2121,50,42.42,6,7
2025-06-23,1859,45,41.31111111111111,6,1
2025-06-24,1808,46,39.30434782608695,6,2
2025-06-25,1813,48,37.77083333333334,6,3
2025-06-26,1773,47,37.72340425531915,6,4
2025-06-27,1675,47,35.63829787234042,6,5
2025-06-28,1923,51,37.70588235294117,6,6
2025-06-29,1790,52,34.42307692307692,6,7
2025-06-30,1893,51,37.11764705882353,6,1
2025-07-01,1735,49,35.40816326530612,7,2
2025-07-02,1761,48,36.6875,7,3
2025-07-03,1873,52,36.01923076923077,7,4
2025-07-04,1989,53,37.52830188679246,7,5
2025-07-05,1882,58,32.44827586206897,7,6
2025-07-06,1774,53,33.47169811320754,7,7
2025-07-07,1942,55,35.30909090909091,7,1
2025-07-08,1943,54,35.98148148148148,7,2
2025-07-09,2222,60,37.03333333333333,7,3
2025-07-10,1934,54,35.81481481481482,7,4
2025-07-11,2009,54,37.2037037037037,7,5
2025-07-12,2243,68,32.98529411764706,7,6
2025-07-13,2207,67,32.94029850746269,7,7
2025-07-14,2383,70,34.04285714285714,7,1
2025-07-15,2511,73,34.39726027397261,7,2
2025-07-16,2736,80,34.2,7,3
2025-07-17,2413,79,30.54430379746836,7,4
2025-07-18,2808,81,34.66666666666666,7,5
2025-07-19,2992,84,35.61904761904762,7,6
2025-07-20,2369,83,28.5421686746988,7,7
2025-07-21,2535,83,30.5421686746988,7,1
2025-07-22,2960,82,36.09756097560975,7,2
2025-07-23,2892,81,35.7037037037037,7,3
2025-07-24,2900,83,34.93975903614458,7,4
2025-07-25,2862,82,34.90243902439025,7,5
2025-07-26,2974,88,33.79545454545455,7,6
2025-07-27,2986,88,33.93181818181818,7,7
2025-07-28,3194,92,34.71739130434783,7,1
2025-07-29,3152,97,32.49484536082474,7,2
2025-07-30,3198,93,34.38709677419355,7,3
2025-07-31,3125,86,36.33720930232558,7,4
2025-08-01,3417,86,39.73255813953488,8,5
2025-08-02,3378,84,40.21428571428572,8,6
2025-08-03,3156,84,37.57142857142857,8,7
2025-08-04,3185,90,35.38888888888889,8,1
2025-08-05,3236,93,34.79569892473118,8,2
2025-08-06,3433,91,37.72527472527472,8,3
2025-08-07,4838,104,46.51923076923077,8,4
2025-08-08,3987,96,41.53125,8,5
2025-08-09,3880,99,39.19191919191919,8,6
2025-08-10,3662,94,38.95744680851064,8,7
2025-08-18,3448,93,37.0752688172043,8,1
2025-08-19,3322,90,36.91111111111111,8,2
2025-08-20,3570,89,40.1123595505618,8,3
2025-08-21,3463,84,41.22619047619047,8,4
2025-08-22,3522,89,39.57303370786517,8,5
2025-08-23,3859,89,43.35955056179775,8,6
2025-08-24,3849,86,44.75581395348837,8,7
2025-08-25,3214,79,40.68354430379747,8,1
2025-08-26,3241,86,37.68604651162791,8,2
2025-08-27,3252,87,37.37931034482759,8,3
2025-08-28,3109,85,36.5764705882353,8,4
2025-08-29,3399,87,39.06896551724138,8,5
2025-08-30,3364,85,39.5764705882353,8,6
2025-08-31,3138,76,41.28947368421053,8,7
2025-09-01,3406,76,44.81578947368421,9,1
2025-09-02,3469,79,43.91139240506329,9,2
2025-09-03,3680,85,43.29411764705883,9,3
2025-09-04,3409,82,41.57317073170731,9,4
2025-09-05,3583,78,45.93589743589744,9,5
2025-09-06,3770,74,50.94594594594594,9,6
2025-09-07,3419,75,45.58666666666667,9,7
2025-09-08,2803,71,39.47887323943662,9,1
2025-09-09,2803,75,37.37333333333333,9,2
2025-09-10,3025,73,41.43835616438356,9,3
2025-09-11,2617,73,35.84931506849315,9,4
2025-09-12,3193,72,44.34722222222222,9,5
2025-09-13,3499,68,51.45588235294117,9,6
2025-09-14,3238,63,51.3968253968254,9,7
2025-09-15,2611,62,42.11290322580645,9,1
2025-09-16,2425,60,40.41666666666666,9,2
2025-09-17,2331,62,37.59677419354838,9,3
2025-09-18,2380,64,37.1875,9,4
2025-09-19,2684,60,44.73333333333333,9,5
2025-09-20,2825,62,45.56451612903226,9,6
2025-09-21,2804,61,45.9672131147541,9,7
2025-09-22,2350,70,33.57142857142857,9,1
2025-09-23,2522,59,42.74576271186441,9,2
2025-09-24,2487,60,41.45,9,3
2025-09-25,2455,59,41.61016949152543,9,4
2025-09-26,2417,57,42.40350877192982,9,5
2025-09-27,2754,59,46.67796610169491,9,6
2025-09-28,2533,62,40.85483870967742,9,7
2025-09-29,2335,55,42.45454545454545,9,1
2025-09-30,2244,55,40.8,9,2
2025-10-01,2622,63,41.61904761904762,10,3
2025-10-02,2770,64,43.28125,10,4
2025-10-03,2609,59,44.22033898305084,10,5
2025-10-04,2751,59,46.6271186440678,10,6
2025-10-05,2552,56,45.57142857142857,10,7
2025-10-06,2651,55,48.2,10,1
2025-10-07,2508,51,49.1764705882353,10,2
2025-10-08,2518,52,48.42307692307692,10,3
2025-10-09,2142,50,42.84,10,4
2025-10-10,2103,49,42.91836734693877,10,5
2025-10-11,2248,50,44.96,10,6
2025-10-12,2552,55,46.4,10,7
2025-10-13,2028,47,43.14893617021276,10,1
2025-10-14,1895,47,40.31914893617022,10,2
2025-10-15,1914,48,39.875,10,3
2025-10-16,1934,43,44.97674418604651,10,4
2025-10-17,1973,44,44.84090909090909,10,5
2025-10-18,2439,50,48.78,10,6
2025-10-19,2112,47,44.93617021276596,10,7
2025-10-20,2058,44,46.77272727272727,10,1
2025-10-21,1901,43,44.2093023255814,10,2
2025-10-22,1783,45,39.62222222222222,10,3
2025-10-23,1865,47,39.68085106382978,10,4
2025-10-24,2007,51,39.35294117647059,10,5
2025-10-25,2516,51,49.33333333333334,10,6
2025-10-26,2241,48,46.6875,10,7
2025-10-27,1983,49,40.46938775510204,10,1
2025-10-28,1823,53,34.39622641509434,10,2
2025-10-29,1829,51,35.86274509803921,10,3
2025-10-30,1713,49,34.95918367346939,10,4
2025-10-31,1585,47,33.72340425531915,10,5
