date,total_orders,attendance,orders_per_rider,month,weekday
2024-11-01,3879,82,47.30487804878049,11,5
2024-11-02,3738,89,42.0,11,6
2024-11-03,3822,86,44.44186046511628,11,7
2024-11-04,2936,86,34.13953488372093,11,1
2024-11-05,3133,85,36.85882352941177,11,2
2024-11-06,3462,90,38.46666666666667,11,3
2024-11-07,3573,90,39.7,11,4
2024-11-08,3540,92,38.47826086956522,11,5
2024-11-09,4022,99,40.62626262626262,11,6
2024-11-10,4285,99,43.28282828282828,11,7
2024-11-11,3149,87,36.19540229885057,11,1
2024-11-12,3312,86,38.51162790697674,11,2
2024-11-13,3385,90,37.61111111111111,11,3
2024-11-14,3684,90,40.93333333333333,11,4
2024-11-15,3618,95,38.08421052631579,11,5
2024-11-16,3885,89,43.65168539325843,11,6
2024-11-17,4137,91,45.46153846153846,11,7
2024-11-18,2993,81,36.95061728395062,11,1
2024-11-19,3657,89,41.08988764044944,11,2
2024-11-20,3464,93,37.24731182795699,11,3
2024-11-21,3535,95,37.21052631578947,11,4
2024-11-22,3745,95,39.42105263157895,11,5
2024-11-23,4293,101,42.50495049504951,11,6
2024-11-24,4371,98,44.60204081632653,11,7
2024-11-25,3841,93,41.30107526881721,11,1
2024-11-26,3803,92,41.33695652173913,11,2
2024-11-27,3878,89,43.57303370786517,11,3
2024-11-28,3801,94,40.43617021276596,11,4
2024-11-29,3993,98,40.74489795918368,11,5
2024-11-30,4124,97,42.51546391752577,11,6
2024-12-01,4728,103,45.90291262135922,12,7
2024-12-02,3913,108,36.23148148148148,12,1
2024-12-03,4050,106,38.20754716981132,12,2
2024-12-04,3904,98,39.83673469387755,12,3
2024-12-05,3949,95,41.56842105263158,12,4
2024-12-06,4114,99,41.55555555555556,12,5
2024-12-07,4677,101,46.3069306930693,12,6
2024-12-08,4718,102,46.25490196078432,12,7
2024-12-09,3924,97,40.45360824742268,12,1
2024-12-10,4689,111,42.24324324324324,12,2
2024-12-11,4609,109,42.28440366972477,12,3
2024-12-12,4553,111,41.01801801801802,12,4
2024-12-13,4551,111,41.0,12,5
2024-12-14,5269,112,47.04464285714285,12,6
2024-12-15,5365,116,46.25,12,7
2024-12-16,4590,113,40.61946902654867,12,1
2024-12-17,4786,120,39.88333333333333,12,2
2024-12-18,4873,117,41.64957264957265,12,3
2024-12-19,4890,122,40.08196721311475,12,4
2024-12-20,5001,119,42.02521008403362,12,5
2024-12-21,5516,123,44.84552845528455,12,6
2024-12-22,5308,121,43.86776859504132,12,7
2024-12-23,4654,117,39.77777777777778,12,1
2024-12-24,4912,120,40.93333333333333,12,2
2024-12-25,4375,109,40.13761467889909,12,3
2024-12-26,4569,109,41.91743119266055,12,4
2024-12-27,4520,112,40.35714285714285,12,5
2024-12-28,5174,109,47.46788990825688,12,6
2024-12-29,5285,113,46.76991150442478,12,7
2024-12-30,4240,106,40.0,12,1
2024-12-31,4154,112,37.08928571428572,12,2
2025-01-01,4816,105,45.86666666666667,1,3
2025-01-02,4462,115,38.8,1,4
2025-01-03,5026,116,43.32758620689656,1,5
2025-01-04,5833,116,50.28448275862069,1,6
2025-01-05,5766,114,50.57894736842105,1,7
2025-01-06,4664,108,43.18518518518518,1,1
2025-01-07,4824,111,43.45945945945946,1,2
2025-01-08,4733,113,41.88495575221239,1,3
2025-01-09,4813,108,44.56481481481482,1,4
2025-01-10,4873,108,45.12037037037037,1,5
2025-01-11,5111,111,46.04504504504504,1,6
2025-01-12,5083,105,48.40952380952381,1,7
2025-01-13,4260,100,42.6,1,1
2025-01-14,4493,101,44.48514851485149,1,2
2025-01-15,4259,97,43.90721649484536,1,3
2025-01-16,4053,99,40.93939393939394,1,4
2025-01-17,4126,98,42.10204081632653,1,5
2025-01-18,3851,92,41.85869565217392,1,6
2025-01-19,3726,93,40.06451612903226,1,7
2025-01-20,3387,94,36.03191489361702,1,1
2025-01-21,3360,94,35.74468085106383,1,2
2025-01-22,3070,91,33.73626373626374,1,3
2025-01-23,3025,88,34.375,1,4
2025-01-24,2877,89,32.32584269662922,1,5
2025-01-25,2388,74,32.27027027027027,1,6
2025-01-26,1863,73,25.52054794520548,1,7
2025-01-27,1384,50,27.68,1,1
2025-01-29,1153,40,28.825,1,3
2025-01-30,1141,42,27.16666666666667,1,4
2025-01-31,1298,43,30.18604651162791,1,5
2025-02-01,1413,44,32.11363636363637,2,6
2025-02-02,1471,45,32.68888888888889,2,7
2025-02-03,1400,56,25.0,2,1
