avg_orders,location,class,avg_delivery_time,overtime_rate,violation_pickup_rate,violation_delivery_rate,claim_rate,false_report_rate
40.63,Shanghai,Regular,1337.052288,0.040849673,0.004901961,0.00245098,0,0
30,Shanghai,Regular,1654.834711,0.049586777,0,0,0,0
35.38,Shanghai,Regular,1759.90369,0.07879925,0,0,0,0.001250782
26.75,Shanghai,Regular,2328.88785,0.074766355,0,0,0.009345794,0
14.17,Shanghai,Regular,1993.666667,0.275862069,0,0,0,0
47.53,Shanghai,Regular,1264.680762,0.006685609,0,0.00016714,0.00016714,0.00016714
10.47,Shanghai,Regular,1688.809045,0.040201005,0,0,0,0
70.95,Shanghai,Elite,1579.599594,0.006669022,4.42E-05,0,0.000132497,0.000132497
23.75,Shanghai,Regular,1757.873684,0.084210526,0,0,0,0
28.53,Shanghai,Regular,1691.502309,0.084295612,0,0,0,0
40.08,Shanghai,Regular,1654.993814,0.032989691,0,0,0,0
45.92,Shanghai,Regular,1959.606543,0.033598585,0,0,0.000884173,0.00132626
22.98,Shanghai,Regular,1786.700811,0.018422992,0,0,0,0
40.7,Shanghai,Regular,1891.21822,0.111228814,0.001059322,0,0.006355932,0.001059322
77.06,Shanghai,Elite,1544.880724,0.006868538,0.000960118,7.39E-05,0.000221566,0.000295421
42.92,Shanghai,Regular,1816.246429,0.026785714,0,0,0.001785714,0
45.25,Shanghai,Regular,1599.99225,0.02275,0,0.00025,0,0
38.83,Shanghai,Regular,1520.258889,0.094444444,0.001111111,0.001111111,0.005555556,0
31.42,Shanghai,Regular,1578.695433,0.017288575,0,0,0.000720357,0
50.21,Shanghai,Regular,1802.530704,0.061408152,0,0,0.00026469,0.001058761
40.51,Shanghai,Regular,1622.708639,0.018586387,0.00026178,0.00026178,0,0
21.06,Shanghai,Regular,1873.135693,0.088495575,0,0,0,0
16.73,Shanghai,Regular,1656.032432,0,0,0,0,0
19.93,Shanghai,Regular,1845.601322,0.044052863,0.004405286,0,0,0.000734214
53.35,Shanghai,Elite,1577.489217,0.032012536,0.000373106,0,0.000671592,0.000373106
27.46,Shanghai,Regular,1661.788889,0.055555556,0,0,0,0
41.56,Shanghai,Regular,1613.013333,0.058181818,0.001616162,0,0.000808081,0.00040404
40.96,Shanghai,Regular,1668.8386,0.065143413,0.000486145,0.000486145,0.00097229,0.000486145
21.85,Shanghai,Regular,1868.950877,0.073684211,0,0,0,0
66.79,Shanghai,Regular,1725.047872,0.028723404,0,0,0,0
51.87,Shanghai,Regular,1501.064496,0.009578544,0,0,0,0
46.2,Shanghai,Regular,1793.62203,0.004319654,0,0,0.002159827,0
32.2,Shanghai,Regular,1894.730061,0.036809816,0,0,0,0
5,Shanghai,Regular,1574,0.2,0,0,0,0
29.48,Shanghai,Regular,1747.935614,0.066901408,0.001006036,0,0.001006036,0
27.68,Shanghai,Regular,1634.353435,0.129007634,0,0.000763359,0.002290076,0
38.83,Shanghai,Regular,1688.184549,0.051502146,0.004291845,0,0.030042918,0
32.17,Shanghai,Regular,1856.121089,0.121088988,0,0.000406339,0.000406339,0
21,Shanghai,Regular,1275.873016,0.031746032,0,0,0,0
28.45,Shanghai,Regular,1697.964968,0.035031847,0,0,0,0
25.27,Shanghai,Regular,1452.75,0.080985915,0,0,0.014084507,0
57.4,Shanghai,Elite,1732.468255,0.022228679,0,0,0.000435856,0.002324568
37.43,Shanghai,Elite,1575.20335,0.016011824,0,0,0.000246336,0.000369504
30.68,Shanghai,Elite,1542.756331,0.006009443,0.000286164,0,0.00071541,0.000572328
17.67,Shanghai,Regular,1681.956522,0.00621118,0,0,0,0
25.67,Shanghai,Regular,1807.17268,0.028350515,0,0,0,0.00257732
22.14,Shanghai,Regular,2035.116129,0.277419355,0,0,0,0
54.85,Shanghai,Regular,1383.912868,0.018604651,0.000620155,0,0.000465116,0.000155039
27.96,Shanghai,Regular,1824.679412,0.185294118,0,0,0.010294118,0
12.5,Shanghai,Regular,1798.415584,0.233766234,0,0,0.012987013,0
28.14,Shanghai,Regular,1642.476886,0.111922141,0,0,0,0
44.45,Shanghai,Elite,1525.602627,0.026403078,0,6.63E-05,0.00112777,0.000265358
30.02,Shanghai,Regular,2021.810953,0.072531314,0.00029129,0,0.000582581,0.002621614
59.59,Shanghai,Elite,1534.182511,0.009893109,0,0.000682283,0.000227428,0.000454856
46.65,Shanghai,Regular,1573.123891,0.025139665,0.000657246,0,0.000657246,0
59.88,Shanghai,Regular,1705.163022,0.011928429,0,0,0.000662691,0
25.89,Shanghai,Regular,1558.161721,0.036919592,0.000226501,0.000453001,0.000453001,0
59.02,Shanghai,Elite,1653.89841,0.030641342,0.000144991,0,0.000483302,0.000144991
28.04,Shanghai,Regular,1608.377504,0.093990755,0.001540832,0,0.001540832,0
30,Shanghai,Regular,1863.645161,0.096774194,0,0,0,0
25.42,Shanghai,Regular,1607.035906,0.07449089,0,0.001071811,0.001607717,0.001071811
55.41,Shanghai,Elite,1535.906811,0.011419062,0,5.74E-05,0.000573822,0.000286911
1,Shanghai,Regular,1373,0,0,0,0,0
15.68,Shanghai,Regular,1916.113043,0.04057971,0,0,0,0
25.5,Shanghai,Regular,1321.956098,0,0,0,0,0
42.8,Shanghai,Elite,1780.819036,0.051659361,0.003757044,0,0.000313087,0.000626174
18.83,Shanghai,Regular,1720.703057,0.034934498,0,0,0,0
19.55,Shanghai,Regular,1476.297674,0.041860465,0,0,0,0
52.72,Shanghai,Regular,1649.052617,0.041439477,0.001090513,0.000272628,0.000272628,0
17.14,Shanghai,Regular,1771.691057,0.170731707,0,0,0,0
6.5,Shanghai,Regular,1638.076923,0.076923077,0,0,0,0
40.67,Shanghai,Regular,1784.977958,0.174013921,0.003480278,0,0.002320186,0.002320186
20.2,Shanghai,Regular,2256.247525,0.297029703,0,0,0,0
34,Shanghai,Regular,1633.5,0.058823529,0,0,0,0
47.68,Shanghai,Regular,1840.744412,0.053721277,0,0,0.000548977,0.001254804
20.81,Shanghai,Regular,1783.397015,0.125373134,0.001492537,0,0.002985075,0.007462687
31,Shanghai,Regular,1521.220641,0.060498221,0.003558719,0.003558719,0,0
24.39,Shanghai,Regular,1561.828275,0.016773163,0,0.000798722,0.001597444,0
48.85,Shanghai,Regular,1657.503391,0.021802326,0.000645995,0.000161499,0.000322997,0.000403747
21,Shanghai,Regular,1998.232558,0.209302326,0,0.023255814,0,0
20,Shanghai,Regular,1552.90099,0.00990099,0,0,0,0
22.31,Shanghai,Regular,1614.508591,0.020618557,0,0.003436426,0,0
31.35,Shanghai,Regular,1409.924949,0.036511156,0.002028398,0,0.001014199,0.001014199
68.83,Shanghai,Elite,1519.387361,0.013506995,0,0,0.000964785,0
43.47,Shanghai,Regular,1889.343988,0.146118721,0.00152207,0,0.00761035,0.00152207
25.79,Shanghai,Regular,1376.026079,0.017985612,0,0,0.00044964,0.000899281
18.33,Shanghai,Regular,1972.772727,0.136363636,0,0,0,0
34.75,Shanghai,Regular,1644.71223,0.021582734,0,0,0,0
29.02,Shanghai,Regular,1755.670886,0.051838457,0.000602773,0,0.001205546,0.000602773
26.4,Shanghai,Regular,1744.308271,0.105263158,0,0,0,0
37.69,Shanghai,Regular,1834.534884,0.041260315,0,0.000750188,0.001500375,0
36.93,Shanghai,Elite,1808.591286,0.041472974,9.11E-05,0.000364598,0.000729195,0.000546896
49.92,Shanghai,Regular,1541.843594,0.056572379,0,0,0.001109262,0
23.3,Shanghai,Regular,1526.613524,0.018610422,0,0,0.000620347,0
36.87,Shanghai,Regular,1825.213213,0.132567388,0.000662837,0,0.000883783,0.000220946
58.09,Shanghai,Regular,1484.20268,0.008743045,0,0,0.000113546,0.000113546
32.36,Shanghai,Regular,1878.909178,0.040365209,0,0,0.000480538,0.003363767
22.5,Shanghai,Regular,1801.316456,0.044303797,0,0.003164557,0,0.006329114
35.7,Shanghai,Regular,1635.804319,0.04845931,0,0.000526732,0.000263366,0.001843561
41.65,Shanghai,Regular,1810.447257,0.019690577,0.014064698,0,0,0.00281294
29.11,Shanghai,Regular,1641.856968,0.050122249,0,0,0.002444988,0
5,Shanghai,Regular,2126.4,0,0,0,0,0
41.14,Shanghai,Regular,1542.086632,0.013345397,0,0,0.000226193,0.001357159
25.56,Shanghai,Regular,1330.308696,0,0,0,0,0
22,Shanghai,Regular,1828.985075,0.179104478,0,0,0,0
30.3,Shanghai,Regular,1706.543097,0.059496568,0,0,0.003051106,0.000762777
39.96,Shanghai,Regular,1839.448331,0.080127186,0.002225755,0,0.00063593,0.000953895
18.44,Shanghai,Regular,1722.982036,0.047904192,0,0,0.005988024,0
24.95,Shanghai,Regular,1803.522814,0.114068441,0,0,0.001901141,0.003802281
25.96,Shanghai,Regular,2010.44912,0.149196634,0.001530222,0,0.003060444,0
33.23,Shanghai,Regular,1839.154378,0.099078341,0.002304147,0,0,0
20.08,Shanghai,Regular,1851.180077,0.137931034,0,0,0,0
36.28,Shanghai,Regular,1782.958076,0.016087098,0.000162496,0,0.000162496,0.000324992
44.07,Shanghai,Regular,1704.006266,0.030388471,0.000313283,0,0,0.001566416
23.23,Shanghai,Regular,1669.134286,0.01,0,0,0.001428571,0
14.33,Shanghai,Regular,1492.969231,0.069230769,0,0,0,0
37.37,Shanghai,Regular,1855.304259,0.052847614,0,0,0.001026167,0.001026167
24.94,Shanghai,Regular,1760.106195,0.055309735,0,0,0.002212389,0
25.5,Shanghai,Regular,1564.862745,0.117647059,0,0,0,0
44.08,Shanghai,Regular,1423.335747,0.017381228,0.000869061,0.000579374,0.001158749,0
43.51,Shanghai,Regular,1360.876432,0.017074815,0,0.000224669,0.000224669,0.00157268
48.01,Shanghai,Regular,1637.655988,0.008494115,0.000121344,0,0.000485378,0.000121344
25.33,Shanghai,Regular,1963.441558,0.142857143,0,0,0,0
43.56,Shanghai,Regular,1836.692583,0.040590957,0.000149231,0,0.000298463,0
36.98,Shanghai,Regular,1640.16208,0.068501529,0,0,0.003669725,0
39.21,Shanghai,Regular,1620.777895,0.061052632,0.003157895,0,0.001052632,0.002105263
32.2,Shanghai,Regular,1665.269547,0.020576132,0.022633745,0,0,0
40.96,Shanghai,Elite,1786.459337,0.082097866,0.000942669,8.57E-05,0.000856971,0
33.95,Shanghai,Regular,1540.247101,0.02537417,9.91E-05,0.000693825,9.91E-05,0.000198236
42.04,Shanghai,Regular,1592.320642,0.058668582,0,0.000478927,0.000478927,0
32.25,Shanghai,Regular,1716.232497,0.058777429,0.000522466,0.003396029,0.000783699,0
41.8,Shanghai,Regular,1639.2737,0.007132244,0,0,0.000297177,0
19,Shanghai,Regular,1595.18797,0.097744361,0,0,0,0
52.4,Shanghai,Regular,1577.274577,0.014736642,9.51E-05,0,0,0.00019015
42.76,Shanghai,Regular,1525.771124,0.008515018,0,0,0.000374287,0
28.09,Shanghai,Regular,1485.330658,0.032102729,0,0.004815409,0.006420546,0
20.88,Shanghai,Regular,1504.607143,0.008290816,0.001913265,0.000637755,0,0
17,Shanghai,Regular,1629.764706,0.117647059,0,0,0,0
41.53,Shanghai,Regular,1787.504025,0.012425621,0.000175009,0,0,0.000350018
58.12,Shanghai,Regular,1800.058698,0.050693703,0,0,0.000533618,0.003201708
5,Shanghai,Regular,1968.8,0.2,0,0,0,0
39.82,Shanghai,Regular,1877.463694,0.066878981,0,0,0.003184713,0
86.8,Shanghai,Elite,1456.786993,0.00335097,8.82E-05,8.82E-05,0.00026455,0.000352734
38.93,Shanghai,Regular,2005.221612,0.100732601,0,0,0.001831502,0
37.96,Shanghai,Regular,1514.169531,0.020074247,0,0.00027499,0.000687474,0
50.84,Shanghai,Regular,1738.587231,0.023388116,0,0,0,0
22.67,Shanghai,Regular,1624.550725,0.101449275,0.014492754,0,0.014492754,0
15.68,Shanghai,Regular,1658.801623,0.05841785,0,0,0.00040568,0.00040568
30.57,Shanghai,Regular,1732.281395,0.106976744,0,0.004651163,0,0
22.45,Shanghai,Regular,1828.9375,0.070564516,0.004032258,0.001008065,0.001008065,0
42.66,Shanghai,Regular,1732.377667,0.041666667,0,0.000666667,0,0.000333333
47.98,Shanghai,Regular,1837.051325,0.012003311,0,0,0,0.004139073
26.01,Shanghai,Regular,1742.936388,0.030188679,0,0,0,0
21.1,Shanghai,Regular,2146.234742,0.075117371,0,0,0,0
45.55,Shanghai,Elite,1710.819682,0.006602022,0,0,0.000206313,0.000412626
55.15,Shanghai,Regular,1605.318942,0.066852368,0,0,0,0
19.91,Shanghai,Regular,1757.848529,0.041176471,0,0,0.002941176,0.001470588
12,Shanghai,Regular,2425.538462,0.538461538,0,0,0,0
30.84,Shanghai,Regular,1710.689189,0.026061776,0.000241313,0,0,0.000723938
27,Shanghai,Regular,1425.203704,0.111111111,0,0,0,0.018518519
34.25,Shanghai,Regular,2132.661871,0.316546763,0,0,0,0
34,Shanghai,Regular,1538.911765,0.029411765,0,0,0,0
26,Shanghai,Regular,1644.730769,0.153846154,0,0,0,0
29.82,Shanghai,Regular,1571.469534,0.046594982,0.003584229,0,0.002389486,0
41.65,Shanghai,Regular,1893.710887,0.044830741,0.000914913,0,0,0.002744739
26.33,Shanghai,Regular,1119.26875,0.0125,0,0,0,0
40.11,Shanghai,Regular,1811.980094,0.048131917,0.001114165,7.43E-05,0.000371388,0
26.5,Shanghai,Regular,2797.54717,0.20754717,0,0,0,0
23.29,Shanghai,Regular,1897.584383,0.17884131,0.020151134,0,0.002518892,0
52.2,Shanghai,Regular,1483.602273,0.022727273,0,0,0,0
41.43,Shanghai,Regular,1631.332123,0.022232305,0.000907441,0.000453721,0.002722323,0
34,Shanghai,Regular,972.8101761,0.009784736,0,0,0,0
17.25,Shanghai,Regular,1585.816901,0.042253521,0,0,0,0
18.8,Shanghai,Regular,1741.842105,0.168421053,0,0,0,0
36.59,Shanghai,Regular,1695.546642,0.04011194,0,0.000932836,0.000932836,0
27.8,Shanghai,Regular,1645.206606,0.009135629,0,0,0,0
54.35,Shanghai,Regular,1564.213769,0.012633073,0.000141945,0,0.000283889,0.000709723
27.27,Shanghai,Regular,1825.359851,0.080297398,0.003717472,0.000743494,0.000743494,0.001486989
31.84,Shanghai,Regular,1467.004391,0.009879254,0.000548847,0.001097695,0.001646542,0.003841932
18.14,Shanghai,Regular,1661.208333,0.09077381,0.001488095,0,0.001488095,0.001488095
28.24,Shanghai,Regular,1872.963636,0.198787879,0.004848485,0,0.003636364,0
34.35,Shanghai,Regular,1802.538004,0.081687855,0.004057344,0.002975385,0.001081958,0.001081958
54.26,Shanghai,Elite,1822.090724,0.017789072,0,0,0.001016518,0.002287166
26.72,Shanghai,Regular,1796.351991,0.032831001,0.008073197,0.000538213,0.001076426,0.002691066
41.55,Shanghai,Regular,1603.409209,0.058644657,0,0,0.000434405,0
34.46,Shanghai,Elite,2029.24126,0.100837908,0,0,0.001155735,0.002022537
39.21,Shanghai,Regular,1399.858541,0.017621145,0,0,0,0
51.96,Shanghai,Regular,1685.442968,0.005720054,0.000168237,0,0.000336474,0.001682369
48.64,Shanghai,Regular,1442.537791,0.027616279,0.000726744,0,0,0
33.33,Shanghai,Regular,1827.502488,0.094527363,0,0,0.004975124,0
11.5,Shanghai,Regular,1718.717391,0.043478261,0,0,0,0
50.96,Shanghai,Regular,1411.374897,0.008649094,0,0,0.000102965,0.000720758
25.34,Shanghai,Regular,1788.112818,0.079449153,0.001059322,0,0.001588983,0.001059322
29.38,Shanghai,Regular,1665.212766,0.063829787,0,0,0,0
44.82,Shanghai,Regular,1816.199739,0.028720627,0,0,0.001305483,0.003916449
23.61,Shanghai,Regular,2051.521127,0.058685446,0,0,0.002347418,0.002347418
40.27,Shanghai,Regular,1620.709571,0.001650165,0,0,0,0
28.4,Shanghai,Regular,1912.993056,0.138888889,0.006944444,0,0.006944444,0
43.32,Shanghai,Regular,1429.621201,0.017790956,0,0,0,0
39,Shanghai,Regular,1568.820513,0,0,0,0,0
10,Shanghai,Regular,2366.8,0.4,0,0,0,0
33.78,Shanghai,Regular,1884.94599,0.027823241,0,0,0.001636661,0
29.75,Shanghai,Regular,1706.680672,0,0,0,0,0
26.79,Shanghai,Regular,1422.226896,0.012641674,0.00021796,0.00021796,0.00098082,0.00010898
35.78,Shanghai,Regular,1658.153846,0.076923077,0.009230769,0,0,0
26.64,Shanghai,Regular,1699.792781,0.009358289,0.005347594,0,0.001336898,0
33.22,Shanghai,Regular,1625.073333,0.016666667,0,0,0,0.003333333
24,Shanghai,Regular,2137.694444,0.222222222,0,0,0,0
20,Shanghai,Regular,2151.590164,0.295081967,0,0,0,0
18.25,Shanghai,Regular,1984.256738,0.107092199,0.00141844,0,0.00212766,0
26.5,Shanghai,Regular,1632.092593,0.074074074,0,0,0.018518519,0
28.25,Shanghai,Regular,1284.159292,0.017699115,0,0,0,0
46.65,Shanghai,Elite,1505.083342,0.007839092,0,0,0.000309438,0.00051573
29,Shanghai,Regular,2268.275862,0.172413793,0,0,0.034482759,0
41.18,Shanghai,Regular,1764.375863,0.02808855,0,0.000119019,0.000714116,0.000238039
30,Shanghai,Regular,1599.983333,0.016666667,0,0,0,0
44.83,Shanghai,Elite,1682.953306,0.017272727,0.000495868,0,0.000743802,0
27,Shanghai,Regular,1964.925926,0,0,0,0,0
36.09,Shanghai,Regular,1600.274074,0.10617284,0,0,0.002469136,0
36.68,Shanghai,Regular,1830.426396,0.02806808,0.007166318,0,0.000298597,0.00089579
29.88,Shanghai,Regular,1716.619773,0.019773096,0,0,0.000324149,0.000324149
23.4,Shanghai,Regular,1632.225,0.058333333,0,0,0.008333333,0
25.54,Shanghai,Regular,1783.738739,0.075075075,0,0,0.003003003,0
51.49,Shanghai,Elite,1375.765228,0.017966871,6.68E-05,0,0.000267165,0
31.77,Shanghai,Regular,1411.318318,0.032825929,0.000207104,0.000103552,0.000621311,0.000103552
17.5,Shanghai,Regular,1582.479087,0.032319392,0,0,0,0
30.67,Shanghai,Regular,1842.195084,0.205837174,0.001536098,0.001536098,0.004608295,0
