depvar,Yvar,Zvar,coef,se,pval
y11,Grade_8,Climate,6.186242436453725,1.1043708,3.9865878e-08
y11,Grade_8,Climate_l,6.708626283629607,1.0156897,1.2865858e-10
y11,Grade_8,Climate_h,6.840021724934593,1.1720309,1.1152426e-08
y11,Grade,Climate,6.412877103207963,1.0290587,1.1835946e-09
y11,Grade,Climate_l,6.964646507392484,.93129724,4.9106758e-13
y11,Grade,Climate_h,7.374721366037818,1.1026917,7.7531925e-11
y11,Grade_12,Climate,5.790484787628822,1.015057,2.2897158e-08
y11,Grade_12,Climate_l,5.935962750578402,.92457145,3.9079581e-10
y11,Grade_12,Climate_h,6.850623819407557,1.1028118,1.3279980e-09
y12,Grade_8,Climate,16.58204461233891,2.1726246,1.7485935e-13
y12,Grade_8,Climate_l,17.39733208712891,2.0737894,8.7884258e-16
y12,Grade_8,Climate_h,19.97773672442897,2.5945623,1.1056266e-13
y12,Grade,Climate,16.73459884251131,2.0167792,1.6966860e-15
y12,Grade,Climate_l,17.87087072172513,1.8827739,2.1958326e-19
y12,Grade,Climate_h,19.73825612990654,2.4445517,8.2813598e-15
y12,Grade_12,Climate,15.7716322268843,1.9746759,1.5282314e-14
y12,Grade_12,Climate_l,16.46243845950436,1.832701,1.0973506e-17
y12,Grade_12,Climate_h,18.88846482247832,2.4225276,5.6916399e-14
y22,Grade_8,Climate,3.711810581941514,.620377,4.9101230e-09
y22,Grade_8,Climate_l,3.161942240440115,.43490234,1.9361741e-12
y22,Grade_8,Climate_h,1.13136497172504,.7931357,.15452963
y22,Grade,Climate,5.094195466150143,.57593143,3.0818490e-17
y22,Grade,Climate_l,4.233295609646424,.38591719,1.2793456e-24
y22,Grade,Climate_h,3.352060667371394,.80075771,.000035010729
y22,Grade_12,Climate,4.058446837703258,.56704217,4.0383898e-12
y22,Grade_12,Climate_l,3.290560166677426,.38918898,5.4600919e-16
y22,Grade_12,Climate_h,2.544068735564348,.7710188,.0010560697
y23,Grade_8,Climate,1.592524021669504,.27312681,1.1485358e-08
y23,Grade_8,Climate_l,1.169860202323028,.19309568,3.2066316e-09
y23,Grade_8,Climate_h,2.560713026813514,.57557744,.00001123607
y23,Grade,Climate,1.966551060326459,.24377298,8.7141894e-15
y23,Grade,Climate_l,1.444006690380182,.1697945,3.8092170e-16
y23,Grade,Climate_h,3.514522632784579,.54028827,2.3557534e-10
y23,Grade_12,Climate,1.631517723912767,.23626688,2.0085180e-11
y23,Grade_12,Climate_l,1.223732171165933,.16432954,6.0604402e-13
y23,Grade_12,Climate_h,2.962517095809776,.51712769,2.0076472e-08
y33,Grade_8,Climate,4.123266951885676,.91713077,9.1194624e-06
y33,Grade_8,Climate_l,2.331027593559496,.56690216,.000047766473
y33,Grade_8,Climate_h,7.452642634275009,1.6520524,8.5153906e-06
y33,Grade,Climate,3.805365688666944,.866889,.000014590513
y33,Grade,Climate_l,2.123764949017952,.53817159,.000093949624
y33,Grade,Climate_h,7.025767149188754,1.5922921,.000013206874
y33,Grade_12,Climate,3.575427281468155,.85284263,.000034099325
y33,Grade_12,Climate_l,1.988103396790616,.53228956,.00021533921
y33,Grade_12,Climate_h,6.638910215162911,1.5829854,.000033876528
y34,Grade_8,Climate,.6790573243543677,.12907413,2.3545867e-07
y34,Grade_8,Climate_l,.4098150577950451,.078732155,3.1229624e-07
y34,Grade_8,Climate_h,1.308170037452136,.24460317,1.5075751e-07
y34,Grade,Climate,.6484830744724763,.11843161,7.7707810e-08
y34,Grade,Climate_l,.3976071229746392,.072868556,8.5886782e-08
y34,Grade,Climate_h,1.269904230215856,.22765756,4.5183469e-08
y34,Grade_12,Climate,.6221417489748748,.11487953,1.0631761e-07
y34,Grade_12,Climate_l,.3825972065416055,.070983469,1.2146609e-07
y34,Grade_12,Climate_h,1.229699159635776,.2233703,6.6499460e-08
