type,rep,outcome,yvar,coef
true,0,Workload,y11,5.621769478856383
true,0,Overload,y12,17.86270298737458
true,0,Heatstroke,y23,1.716099821009708
true,0,Severe heatstroke,y24,.7301907486017771
true,0,Mild cold hypothermia,y33,4.225801642881657
true,0,Moderate cold hypothermia,y34,.9867202155030013
placebo,1,Workload,y11,.3191395783835385
placebo,1,Overload,y12,.0676379425945204
placebo,1,Heatstroke,y23,-.1335766777383552
placebo,1,Severe heatstroke,y24,-.1198055975176165
placebo,1,Mild cold hypothermia,y33,.0522120521942856
placebo,1,Moderate cold hypothermia,y34,-.1157152818628917
placebo,2,Workload,y11,.3510418082247456
placebo,2,Overload,y12,.5295380763817035
placebo,2,Heatstroke,y23,.1384963728931173
placebo,2,Severe heatstroke,y24,-.0654786138789343
placebo,2,Mild cold hypothermia,y33,-.3760245575617156
placebo,2,Moderate cold hypothermia,y34,.2516713106014815
placebo,3,Workload,y11,-.2380312304234364
placebo,3,Overload,y12,.7686235645346722
placebo,3,Heatstroke,y23,-.3531196676535975
placebo,3,Severe heatstroke,y24,-.128606016879776
placebo,3,Mild cold hypothermia,y33,-.0501239269717529
placebo,3,Moderate cold hypothermia,y34,-.208036378973386
placebo,4,Workload,y11,1.204669124536953
placebo,4,Overload,y12,1.320222977920797
placebo,4,Heatstroke,y23,.1298438965085347
placebo,4,Severe heatstroke,y24,-.0664240076411393
placebo,4,Mild cold hypothermia,y33,-1.287441248914819
placebo,4,Moderate cold hypothermia,y34,-.1967060140085849
placebo,5,Workload,y11,-.4410433366725658
placebo,5,Overload,y12,-.7686807116976072
placebo,5,Heatstroke,y23,-.311943690583725
placebo,5,Severe heatstroke,y24,-.1146313293045219
placebo,5,Mild cold hypothermia,y33,.6636990237869952
placebo,5,Moderate cold hypothermia,y34,.4002390602836988
placebo,6,Workload,y11,-.520202160681645
placebo,6,Overload,y12,-1.606934823518411
placebo,6,Heatstroke,y23,-.3180142535978418
placebo,6,Severe heatstroke,y24,-.1160308975052223
placebo,6,Mild cold hypothermia,y33,.7279487056890824
placebo,6,Moderate cold hypothermia,y34,-.1620739693101546
placebo,7,Workload,y11,-.6820849029296037
placebo,7,Overload,y12,-2.197036347526134
placebo,7,Heatstroke,y23,-.2939243621836422
placebo,7,Severe heatstroke,y24,-.1078691053548254
placebo,7,Mild cold hypothermia,y33,.1037620102216582
placebo,7,Moderate cold hypothermia,y34,-.0371533025789155
placebo,8,Workload,y11,.2616531254469415
placebo,8,Overload,y12,-.9812991328244201
placebo,8,Heatstroke,y23,.4592826522194494
placebo,8,Severe heatstroke,y24,.3503465523087741
placebo,8,Mild cold hypothermia,y33,-.0936681442764578
placebo,8,Moderate cold hypothermia,y34,.1952560335058773
placebo,9,Workload,y11,.2764261024818123
placebo,9,Overload,y12,.7878537132520532
placebo,9,Heatstroke,y23,-.3294372385462503
placebo,9,Severe heatstroke,y24,-.1198841573760632
placebo,9,Mild cold hypothermia,y33,-1.144318863807017
placebo,9,Moderate cold hypothermia,y34,-.2184810724706478
placebo,10,Workload,y11,-.4127606962890852
placebo,10,Overload,y12,-.424065600381291
placebo,10,Heatstroke,y23,.6365073409068716
