type,rep,outcome,yvar,coef
true,0,Workload,y11,5.621769478856383
true,0,Overload,y12,17.86270298737458
true,0,Heatstroke,y23,1.716099821009708
true,0,Severe heatstroke,y24,.7301907486017771
true,0,Mild cold hypothermia,y33,4.225801642881657
true,0,Moderate cold hypothermia,y34,.9867202155030013
placebo,1,Workload,y11,-.3187517756214644
placebo,1,Overload,y12,1.819094326566583
placebo,1,Heatstroke,y23,-.2796715623893575
placebo,1,Severe heatstroke,y24,.0490771987045648
placebo,1,Mild cold hypothermia,y33,-1.602366339621307
placebo,1,Moderate cold hypothermia,y34,.6618049213975942
placebo,2,Workload,y11,-1.455955019408345
placebo,2,Overload,y12,-2.758550368047147
placebo,2,Heatstroke,y23,.1961135714295311
placebo,2,Severe heatstroke,y24,-.000757135568801
placebo,2,Mild cold hypothermia,y33,-.9115223732624601
placebo,2,Moderate cold hypothermia,y34,-.4415775523793283
placebo,3,Workload,y11,.2549999528056965
placebo,3,Overload,y12,-.7626600269583128
placebo,3,Heatstroke,y23,.0247499818921201
placebo,3,Severe heatstroke,y24,.1925686075007708
placebo,3,Mild cold hypothermia,y33,-.0778178132417418
placebo,3,Moderate cold hypothermia,y34,.0620975559457542
placebo,4,Workload,y11,-.3363289996815544
placebo,4,Overload,y12,1.25748578042625
placebo,4,Heatstroke,y23,.1785415846499661
placebo,4,Severe heatstroke,y24,.1782712843172685
placebo,4,Mild cold hypothermia,y33,-.5850817149339019
placebo,4,Moderate cold hypothermia,y34,-.4275170882778663
placebo,5,Workload,y11,-.0411008012046041
placebo,5,Overload,y12,-1.175984102443426
placebo,5,Heatstroke,y23,-.00262553966474
placebo,5,Severe heatstroke,y24,-.0033947284866054
placebo,5,Mild cold hypothermia,y33,-2.448030315279545
placebo,5,Moderate cold hypothermia,y34,-.0695596881493542
placebo,6,Workload,y11,-.8418608678051828
placebo,6,Overload,y12,-1.300757325845119
placebo,6,Heatstroke,y23,.2967637511986282
placebo,6,Severe heatstroke,y24,.5101599245424099
placebo,6,Mild cold hypothermia,y33,-.5165076088977937
placebo,6,Moderate cold hypothermia,y34,-.2969396914943026
placebo,7,Workload,y11,-2.438864588918314
placebo,7,Overload,y12,-2.044037698773669
placebo,7,Heatstroke,y23,-.3052236422927256
placebo,7,Severe heatstroke,y24,.0115694123568922
placebo,7,Mild cold hypothermia,y33,-.5626695996166498
placebo,7,Moderate cold hypothermia,y34,.345070874342461
placebo,8,Workload,y11,-.415937119288733
placebo,8,Overload,y12,.2750984688498487
placebo,8,Heatstroke,y23,.3169744945584522
placebo,8,Severe heatstroke,y24,.0556931315649443
placebo,8,Mild cold hypothermia,y33,.9437201138783227
placebo,8,Moderate cold hypothermia,y34,.1897869114031754
placebo,9,Workload,y11,.4539028876310444
placebo,9,Overload,y12,-.4397384020037798
placebo,9,Heatstroke,y23,.4065388265021966
placebo,9,Severe heatstroke,y24,.2043453700762473
placebo,9,Mild cold hypothermia,y33,-.5598713999805472
placebo,9,Moderate cold hypothermia,y34,.5162368720645432
placebo,10,Workload,y11,.9882134012530078
placebo,10,Overload,y12,4.817426314361569
placebo,10,Heatstroke,y23,-.271788779257519
placebo,10,Severe heatstroke,y24,.0224533178143427
