depvar,outcome,definition,coef,se,pval,lower,upper
y11,Workload,"Top 8%, 35$^\circ$C / -15$^\circ$C",6.186242436453725,1.1043708,3.9865878e-08,4.0216756684537245,8.350809204453725
y11,Workload,"Baseline: Top 10%, 35$^\circ$C / -15$^\circ$C",6.412877103207963,1.0290587,1.1835946e-09,4.395922051207963,8.429832155207963
y11,Workload,"Top 12%, 35$^\circ$C / -15$^\circ$C",5.790484787628822,1.015057,2.2897158e-08,3.8009730676288216,7.779996507628822
y11,Workload,"Top 10%, 33$^\circ$C / -13$^\circ$C",6.964646507392484,0.93129724,4.9106758e-13,5.139303916992484,8.789989097792484
y11,Workload,"Top 10%, 37$^\circ$C / -17$^\circ$C",7.374721366037818,1.1026917,7.7531925e-11,5.213445634037818,9.535997098037818
y12,Overload probability,"Top 8%, 35$^\circ$C / -15$^\circ$C",16.58204461233891,2.1726246,1.7485935e-13,12.323700396338909,20.84038882833891
y12,Overload probability,"Baseline: Top 10%, 35$^\circ$C / -15$^\circ$C",16.73459884251131,2.0167792,1.696686e-15,12.78171161051131,20.687486074511312
y12,Overload probability,"Top 12%, 35$^\circ$C / -15$^\circ$C",15.7716322268843,1.9746759,1.5282314e-14,11.9012674628843,19.6419969908843
y12,Overload probability,"Top 10%, 33$^\circ$C / -13$^\circ$C",17.87087072172513,1.8827739,2.1958326e-19,14.18063387772513,21.56110756572513
y12,Overload probability,"Top 10%, 37$^\circ$C / -17$^\circ$C",19.73825612990654,2.4445517,8.2813598e-15,14.94693479790654,24.529577461906538
y22,Heat exhaustion,"Top 8%, 35$^\circ$C / -15$^\circ$C",3.711810581941514,0.620377,4.910123e-09,2.495871661941514,4.927749501941514
y22,Heat exhaustion,"Baseline: Top 10%, 35$^\circ$C / -15$^\circ$C",5.094195466150143,0.57593143,3.081849e-17,3.9653698633501433,6.2230210689501435
y22,Heat exhaustion,"Top 12%, 35$^\circ$C / -15$^\circ$C",4.058446837703258,0.56704217,4.0383898e-12,2.947044184503258,5.169849490903258
y22,Heat exhaustion,"Top 10%, 33$^\circ$C / -13$^\circ$C",4.233295609646424,0.38591719,1.2793456e-24,3.476897917246424,4.989693302046424
y22,Heat exhaustion,"Top 10%, 37$^\circ$C / -17$^\circ$C",3.352060667371394,0.80075771,3.5010729e-05,1.782575555771394,4.921545778971394
y23,Heatstroke,"Top 8%, 35$^\circ$C / -15$^\circ$C",1.592524021669504,0.27312681,1.1485358e-08,1.057195474069504,2.1278525692695043
y23,Heatstroke,"Baseline: Top 10%, 35$^\circ$C / -15$^\circ$C",1.966551060326459,0.24377298,8.7141894e-15,1.488756019526459,2.444346101126459
y23,Heatstroke,"Top 12%, 35$^\circ$C / -15$^\circ$C",1.631517723912767,0.23626688,2.008518e-11,1.168434639112767,2.0946008087127668
y23,Heatstroke,"Top 10%, 33$^\circ$C / -13$^\circ$C",1.444006690380182,0.1697945,3.809217e-16,1.111209470380182,1.776803910380182
y23,Heatstroke,"Top 10%, 37$^\circ$C / -17$^\circ$C",3.514522632784579,0.54028827,2.3557534e-10,2.455557623584579,4.573487641984579
y33,Mild cold hypothermia,"Top 8%, 35$^\circ$C / -15$^\circ$C",4.123266951885676,0.91713077,9.1194624e-06,2.325690642685676,5.920843261085676
y33,Mild cold hypothermia,"Baseline: Top 10%, 35$^\circ$C / -15$^\circ$C",3.805365688666944,0.866889,1.4590513e-05,2.106263248666944,5.504468128666944
y33,Mild cold hypothermia,"Top 12%, 35$^\circ$C / -15$^\circ$C",3.575427281468155,0.85284263,3.4099325e-05,1.9038557266681548,5.246998836268155
y33,Mild cold hypothermia,"Top 10%, 33$^\circ$C / -13$^\circ$C",2.123764949017952,0.53817159,9.3949624e-05,1.0689486326179523,3.178581265417952
y33,Mild cold hypothermia,"Top 10%, 37$^\circ$C / -17$^\circ$C",7.025767149188754,1.5922921,1.3206874e-05,3.904874633188754,10.146659665188754
y34,Moderate cold hypothermia,"Top 8%, 35$^\circ$C / -15$^\circ$C",0.6790573243543677,0.12907413,2.3545867e-07,0.4260720295543677,0.9320426191543678
y34,Moderate cold hypothermia,"Baseline: Top 10%, 35$^\circ$C / -15$^\circ$C",0.6484830744724763,0.11843161,7.770781e-08,0.4163571188724763,0.8806090300724764
y34,Moderate cold hypothermia,"Top 12%, 35$^\circ$C / -15$^\circ$C",0.6221417489748748,0.11487953,1.0631761e-07,0.39697787017487485,0.8473056277748748
y34,Moderate cold hypothermia,"Top 10%, 33$^\circ$C / -13$^\circ$C",0.3976071229746392,0.072868556,8.5886782e-08,0.25478475321463917,0.5404294927346391
y34,Moderate cold hypothermia,"Top 10%, 37$^\circ$C / -17$^\circ$C",1.269904230215856,0.22765756,4.5183469e-08,0.823695412615856,1.7161130478158562
