Variables,y11,y12,y21,y22,y23,y24,y31,y33,y34
Unit,Hours,pp,degC,pp,pp,pp,degC,pp,pp
Climate,-3.381***,-6.433***,-0.001,-0.653**,-0.751***,-0.303***,0.153***,2.146***,0.088**
 ,(0.636),(1.034),(0.012),(0.322),(0.147),(0.069),(0.021),(0.466),(0.041)
Climate x Tier,6.413***,16.735***,0.156***,5.094***,1.967***,0.832***,0.196***,3.805***,0.648***
 ,(1.235),(2.420),(0.023),(0.691),(0.293),(0.172),(0.045),(1.040),(0.142)
Cash-burning wars (Xtime3),-0.634,7.518***,0.049***,1.283***,0.571***,0.191***,-0.008,-1.358***,0.080***
 ,(0.571),(1.255),(0.005),(0.140),(0.085),(0.045),(0.014),(0.381),(0.024)
Controls,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Individual FEs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Year-Month FEs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Worker-Day level obs.,45024,45024,45024,45024,45024,45024,45024,45024,45024
Adj R-squared,0.534,0.358,0.183,0.114,0.061,0.022,0.302,0.150,0.032
